Date,Close,High,Low,n,Open,Volume,vw,Dividends,Stock Splits
2025-04-28 00:00:00+00:00,457.83,464.3,456.55,1921,460.57,37598,458.77,0.0,0.0
2025-04-29 00:00:00+00:00,457.34,459.06,455.39,1801,457.92,41623,457.34,0.0,0.0
2025-04-30 00:00:00+00:00,458.99,459.99,453.41,1297,456.3,33555,456.88,0.0,0.0
2025-05-01 00:00:00+00:00,459.75,460.81,454.83,1650,458.29,35816,458.69,0.0,0.0
2025-05-02 00:00:00+00:00,453.81,471.37,449.38,2575,464.71,85132,455.88,0.0,0.0
2025-05-05 00:00:00+00:00,452.67,456.0,451.14,1143,455.52,25916,453.4,0.0,0.0
2025-05-06 00:00:00+00:00,449.89,452.85,446.02,1557,452.85,38789,450.22,0.0,0.0
2025-05-07 00:00:00+00:00,453.35,456.21,449.22,1332,452.09,39089,453.32,0.0,0.0
2025-05-08 00:00:00+00:00,456.04,460.25,454.14,1618,454.56,34280,457.87,0.0,0.0
2025-05-09 00:00:00+00:00,455.05,456.11,450.25,1195,454.69,32764,454.08,0.0,0.0
2025-05-12 00:00:00+00:00,455.07,457.2,447.69,1704,457.2,45174,453.06,0.0,0.0
2025-05-13 00:00:00+00:00,442.15,453.72,441.37,1800,451.36,51160,445.68,0.0,0.0
2025-05-14 00:00:00+00:00,431.73,443.52,428.4,2590,443.24,86327,434.0,0.0,0.0
2025-05-15 00:00:00+00:00,446.2,447.19,438.95,2341,439.52,68923,443.67,0.0,0.0
2025-05-16 00:00:00+00:00,450.06,450.06,445.65,1220,447.69,32918,447.73,0.0,0.0
2025-05-19 00:00:00+00:00,454.44,455.69,450.32,1041,450.32,26570,453.89,0.0,0.0
2025-05-20 00:00:00+00:00,457.29,458.36,453.21,1377,453.65,35802,456.09,0.0,0.0
2025-05-21 00:00:00+00:00,452.11,458.09,451.87,1455,457.53,37379,454.36,0.0,0.0
2025-05-22 00:00:00+00:00,452.12,454.32,449.25,1014,450.77,24827,451.66,0.0,0.0
2025-05-23 00:00:00+00:00,450.72,451.15,447.95,847,449.35,19046,450.0,0.0,0.0
2025-05-27 00:00:00+00:00,458.15,458.15,450.77,1086,452.76,27719,454.85,0.0,0.0
2025-05-28 00:00:00+00:00,451.33,459.23,451.33,1139,458.16,33199,454.11,0.0,0.0
2025-05-29 00:00:00+00:00,455.22,456.05,449.48,1351,449.48,40175,454.2,0.0,0.0
2025-05-30 00:00:00+00:00,463.34,463.51,454.86,1783,454.86,33147,459.98,0.0,0.0
2025-06-02 00:00:00+00:00,463.32,463.83,458.86,1513,463.45,35958,461.64,0.0,0.0
2025-06-03 00:00:00+00:00,464.88,465.25,461.7,1091,462.74,28023,464.07,0.0,0.0
2025-06-04 00:00:00+00:00,466.94,471.03,466.63,1678,466.63,40191,468.67,0.0,0.0
2025-06-05 00:00:00+00:00,462.04,465.87,456.61,1165,465.87,27526,461.42,0.0,0.0
2025-06-06 00:00:00+00:00,466.19,466.36,462.13,1185,462.4,27767,465.12,0.0,0.0
2025-06-09 00:00:00+00:00,465.17,466.65,461.74,1193,465.04,27969,465.51,0.0,0.0
2025-06-10 00:00:00+00:00,461.64,465.41,460.78,1081,465.41,37871,462.97,0.0,0.0
2025-06-11 00:00:00+00:00,442.08,445.18,429.37,3187,445.18,118492,438.96,0.0,0.0
2025-06-12 00:00:00+00:00,454.06,454.06,442.12,1951,442.26,79760,449.82,0.0,0.0
2025-06-13 00:00:00+00:00,470.26,472.34,459.86,2056,461.13,67057,469.52,0.0,0.0
2025-06-16 00:00:00+00:00,451.92,464.86,449.63,3019,462.59,98061,453.76,0.0,0.0
2025-06-17 00:00:00+00:00,463.45,465.53,452.98,1605,456.32,37342,462.72,0.0,0.0
2025-06-18 00:00:00+00:00,453.43,466.75,452.89,1786,462.41,48510,456.55,0.0,0.0
2025-06-20 00:00:00+00:00,455.45,458.88,447.17,1198,453.58,38516,455.04,0.0,0.0
2025-06-23 00:00:00+00:00,456.95,466.48,453.8,2444,457.15,66013,458.76,0.0,0.0
